name,source,notes,lifetime,book_life,currency,currency_year,unit,time_unit,geography,gau,geography_map_key,interpolation_method,extrapolation_method,cost_of_capital,levelized,vintage,value,sensitivity
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2019,684.6694243,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2020,640.1478625,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2021,607.0575125,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2022,580.5852325,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2023,557.7228088,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2024,537.266956,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2025,519.2176742,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2026,502.3716778,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2027,486.7289669,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2028,471.6878987,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2029,457.8501159,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2030,444.6139759,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2031,437.9959059,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2032,431.3778359,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2033,424.7597659,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2034,419.3449813,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2035,413.9301968,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2036,408.5154123,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2037,403.7022704,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2038,398.8891286,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2039,394.6776295,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2040,390.4661304,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2041,386.2546313,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2042,382.644775,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2043,378.4332758,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2044,374.8234195,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2045,371.8152058,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2046,368.2053495,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2047,365.1971358,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2048,362.1889222,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2049,359.1807085,final supply curves [d]
offshore wind|1,,,50,50,aud,2020,kilowatt,,nzau-geography,all,,previous_period_mean,nearest,0.021,FALSE,2050,356.1724949,final supply curves [d]
