OBJECTID,SUM_TOTPOP_CY,FIRST_geo,FIRST_SA2,TOTPOP,aggSA2oid,Shape_Length,Shape_Area,type,exportPortName
1,4707847,14,206011105,19969821,1,988439.3863,4481366945,sink,
2,2772119,7,309031235,19969821,2,1327258.923,3319317176,sink,
3,122003,11,801011002,19969821,3,79532.47256,67011326.41,sink,
4,4614069,9,124011450,19969821,4,1280634.481,2566573436,sink,
5,1895839,1,502011023,19969821,5,807271.6933,2052614218,sink,
6,1234668,16,401011001,19969821,6,489374.8117,1052613408,sink,
7,141133,5,318021468,19969821,7,188531.1036,371839308.8,sink,
8,17695,12,105021097,19969821,8,61627.16274,170161322.2,sink,
9,18556,6,315021405,19969821,9,49035.82706,62849469.47,sink,
10,5762,4,701021021,19969821,10,12191.6833,7042304.404,sink,
11,5067,2,511021276,19969821,11,92328.31824,78710781.55,sink,
12,16345,3,510031272,19969821,12,59082.45393,133676284.2,sink,
13,125175,15,601011001,19969821,13,270298.3353,336276344.4,sink,
14,58742,13,205041095,19969821,14,160735.2835,340442348.6,sink,
15,58118,8,104021084,19969821,15,118152.6792,235291358.3,sink,
16,67112,11,109011172,19969821,16,175746.4585,349420324.1,bulk,
17,37925,9,105031100,19969821,17,83678.78605,182559365.6,bulk,
18,338675,9,102021045,19969821,18,406914.2781,492658298.3,bulk,
19,14435,11,801011006,19969821,19,12789.76419,7862988.854,bulk,
20,6333,11,113021261,19969821,20,57308.67188,40314129.46,bulk,
21,5510,7,307031187,19969821,21,33653.41701,33674678.59,bulk,
22,138588,5,306011138,19969821,22,161051.2292,223868495.9,bulk,
23,9651,5,306031159,19969821,23,69731.49099,53052290.38,bulk,
24,68680,5,312021342,19969821,24,109625.4816,184745080.9,bulk,
25,5638,5,308031207,19969821,25,52610.06669,40856654.17,bulk,
26,18830,5,308031223,19969821,26,65478.83007,78578276.48,bulk,
27,13968,5,308011192,19969821,27,38472.32676,38999048.96,bulk,
28,9265,5,312011337,19969821,28,50044.08575,52059070.84,bulk,
29,9118,5,318011460,19969821,29,52664.02048,69860714.45,bulk,
30,54010,7,319041517,19969821,30,66482.53939,93207058.85,bulk,
31,26537,7,308051533,19969821,31,62521.4482,56527311.32,bulk,
32,65600,7,319011492,19969821,32,99732.50501,254757579.9,bulk,
33,5893,7,308041529,19969821,33,26138.02424,18894772.38,bulk,
34,26975,7,316051435,19969821,34,58587.6685,59309920.96,bulk,
35,21648,7,319031512,19969821,35,57744.41993,69467257.41,bulk,
36,11787,7,316031426,19969821,36,25638.81265,32886670.86,bulk,
37,10344,7,319021505,19969821,37,49722.67696,70203730.41,bulk,
38,19100,7,313011363,19969821,38,84798.29254,145332676,bulk,
39,14259,7,112031250,19969821,39,49529.4615,38452659.05,bulk,
40,24382,7,112031550,19969821,40,31778.46913,17904092.28,bulk,
41,10463,7,112011240,19969821,41,54018.97885,39786410.54,bulk,
42,18433,11,801071073,19969821,42,20540.29989,12835566.61,bulk,
43,27949,11,801071082,19969821,43,25974.44393,20156361.22,bulk,
44,5200,11,801071074,19969821,44,8452.192362,3097458.589,bulk,
45,5352,11,801091100,19969821,45,9838.524611,4804358.41,bulk,
46,36888,8,110041202,19969821,46,85655.88971,178180619.1,bulk,
47,21086,8,108011152,19969821,47,64454.9891,49530900.3,bulk,
48,47388,8,108041163,19969821,48,64055.00789,96263486.23,bulk,
49,17756,7,112011236,19969821,49,56968.60111,36143102.34,bulk,
50,9567,8,110041199,19969821,50,50721.39773,90145564.27,bulk,
51,8255,8,110031195,19969821,51,64716.19627,69377539,bulk,
52,20863,8,108051169,19969821,52,85612.42558,125112887.5,bulk,
53,5241,8,108021160,19969821,53,39853.63829,45965898.52,bulk,
54,6861,8,108021158,19969821,54,32004.14549,31053105.18,bulk,
55,19009,8,104011080,19969821,55,65693.92326,106239643.1,bulk,
56,9128,9,111021216,19969821,56,23669.13013,10177951.92,bulk,
57,9114,9,111021220,19969821,57,36847.49695,13192824.54,bulk,
58,5716,9,111011207,19969821,58,20682.54971,6809411.785,bulk,
59,28757,8,106031120,19969821,59,123142.5634,77476079.44,bulk,
60,16297,9,106011112,19969821,60,77176.70211,127204608.2,bulk,
61,39949,9,103041077,19969821,61,80923.73711,144754183.2,bulk,
62,36661,9,103011058,19969821,62,84039.50411,213530410.6,bulk,
63,13030,9,103031070,19969821,63,72533.73351,119988348.1,bulk,
64,37900,11,101021008,19969821,64,30831.89395,38439417.93,bulk,
65,8488,11,101041018,19969821,65,55126.14734,30617304.83,bulk,
66,7901,11,101041017,19969821,66,71443.32594,63748642.17,bulk,
67,23895,9,101051539,19969821,67,44640.05504,64802570.15,bulk,
68,11033,11,101041025,19969821,68,83240.45283,97365487.76,bulk,
69,15951,11,114011282,19969821,69,51755.2854,46791122.3,bulk,
70,51353,11,113031267,19969821,70,79675.44711,138383454.4,bulk,
71,19952,11,113011256,19969821,71,39933.97953,56352081.63,bulk,
72,8067,5,318011462,19969821,72,34108.48605,41858538.15,bulk,
73,21018,10,107031143,19969821,73,15696.68114,9498312.862,bulk,
74,51241,14,216031415,19969821,74,94927.57358,248973953.5,bulk,
75,19174,14,204021066,19969821,75,51864.93825,57575607.08,bulk,
76,33704,14,215021469,19969821,76,54127.51876,76102046.4,bulk,
77,7344,4,701041043,19969821,77,7647.210252,3172874.945,bulk,
78,5277,4,701021019,19969821,78,5955.921662,2063206.948,bulk,
79,6878,16,405011114,19969821,79,34454.51432,50662157,bulk,
80,5489,4,702011046,19969821,80,22309.42243,25765396.21,bulk,
81,16307,16,406011133,19969821,81,95935.71745,136286561.1,bulk,
82,21665,16,406011136,19969821,82,33719.80904,40848926.78,bulk,
83,14234,16,405031122,19969821,83,65110.59046,75265830.06,bulk,
84,29316,16,407021173,19969821,84,81046.80918,193293163.5,bulk,
85,35052,14,217041479,19969821,85,95685.55644,182667007.4,bulk,
86,104803,14,201011001,19969821,86,112986.6001,343615003.6,bulk,
87,12529,14,217031472,19969821,87,38711.14399,54763622.69,bulk,
88,16443,14,215011388,19969821,88,44009.02037,83074893.43,bulk,
89,7960,14,201031016,19969821,89,45847.11366,45528262.1,bulk,
90,10865,14,217011422,19969821,90,52673.18269,64009128.35,bulk,
91,14819,16,407011148,19969821,91,71327.53559,128269277.4,bulk,
92,23837,16,401021007,19969821,92,49404.60228,78968080.51,bulk,
93,18598,16,407031165,19969821,93,58363.78533,97540521.22,bulk,
94,29685,1,511041285,19969821,94,80108.07915,129136740.7,bulk,
95,30181,1,511031278,19969821,95,52238.88445,67641694.25,bulk,
96,9859,3,510021270,19969821,96,20540.446,22271963.29,bulk,
97,14467,3,510011262,19969821,97,39991.76876,50040941.17,bulk,
98,7974,4,701011002,19969821,98,8506.117503,2949059.295,bulk,
99,6800,3,999999999,19969821,99,11185.37648,1754825.468,bulk,
100,13928,10,122021422,19969821,100,18031.03957,5802587,bulk,
101,11262,10,122021421,19969821,101,88124.85956,64545432.64,bulk,
102,13247,15,602011044,19969821,102,67035.97854,66064259.83,bulk,
103,10743,15,602011038,19969821,103,17872.19116,8976570.866,bulk,
104,9276,15,602011041,19969821,104,28498.73534,23576164.99,bulk,
105,13983,15,604021085,19969821,105,16107.34746,10280150.84,bulk,
106,6180,15,604011084,19969821,106,71603.32997,58654938.49,bulk,
107,6504,15,604011078,19969821,107,26138.90409,19533419.96,bulk,
108,6955,15,604011082,19969821,108,39621.92164,27492979.13,bulk,
109,14956,13,205051103,19969821,109,46289.62265,45594794.04,bulk,
110,11244,13,205031091,19969821,110,102777.2118,100646572,bulk,
111,30638,15,601021004,19969821,111,56539.891,37551936.42,bulk,
112,70994,1,501021005,19969821,112,94388.2902,145707213.7,bulk,
113,28692,1,502011022,19969821,113,36012.09423,23858944.36,bulk,
114,25269,1,509011225,19969821,114,77517.41181,131702569.3,bulk,
115,27320,1,501011002,19969821,115,83925.31377,196240543.3,bulk,
116,52953,5,308031205,19969821,116,91725.02674,149721242.4,bulk,
117,93917,7,317011446,19969821,117,65164.33385,109437024.1,bulk,
118,232578,7,316011413,19969821,118,206925.5439,331796919.9,bulk,
119,24032,7,319051524,19969821,119,66559.35826,121619010.2,bulk,
120,7874,7,317011448,19969821,120,45700.03176,50012104.91,bulk,
121,8097,9,111031232,19969821,121,35260.38667,30506548.16,bulk,
122,437345,8,106011111,19969821,122,397394.547,989089368.7,bulk,
123,16908,7,112011239,19969821,123,93743.22172,92301221.13,bulk,
124,28652,7,112021246,19969821,124,60344.47949,88524134.28,bulk,
125,12303,9,103031072,19969821,125,65635.06222,65902546.96,bulk,
126,9310,7,112031251,19969821,126,29849.13831,24288724.18,bulk,
127,248683,14,203021037,19969821,127,240912.2477,750611449.4,bulk,
128,98335,14,202011018,19969821,128,123919.3681,287498052.7,bulk,
129,10820,14,202021027,19969821,129,52171.45057,83921324.1,bulk,
130,22785,9,114021284,19969821,130,67983.81999,129316476.2,bulk,
131,10132,10,107011546,19969821,131,18775.89405,6951715.62,bulk,
132,255173,9,107031138,19969821,132,219676.09,382831506.3,bulk,
133,38815,10,122021420,19969821,133,49808.86304,20273461.72,bulk,
134,6182,11,801061067,19969821,134,8277.178403,4093701.832,bulk,
135,5430,11,801061131,19969821,135,5001.741775,1403246.427,bulk,
136,37302,9,114011277,19969821,136,104893.055,201422451.1,bulk,
137,14581,9,114011279,19969821,137,58270.03705,76921728.48,bulk,
200,,,,,200,,,export,Dampier
201,,,,,201,,,export,Ashburton
202,,,,,202,,,export,Port Hedland
203,,,,,203,,,export,Darwin (Middle Arm suggested) L
204,,,,,204,,,export,Darwin (Middle Arm suggested) R
205,,,,,205,,,export,Hay Point
206,,,,,206,,,export,Abbot Point
207,,,,,207,,,export,Gladstone
208,,,,,208,,,export,Newcastle (Kooragang Island suggested)
209,,,,,209,,,export,Port Bonython
210,,,,,210,,,export,Problem
