bin_number,NZAu_maj,depth_m,name,type
5,ex-sa,-27.225987348274362,offshore wind|5,offshore
5,nsw-south,-44.72945804195803,offshore wind|5,offshore
5,nt,-57.41529366674189,offshore wind|5,offshore
5,qld-north,-29.333585882880524,offshore wind|5,offshore
5,qld-south,-177.5732404874412,offshore wind|5,offshore
5,sa,-69.1704373622133,offshore wind|5,offshore
5,tas,-98.22954163291365,offshore wind|5,offshore
5,vic-west,-47.67992144926823,offshore wind|5,offshore
5,wa-north,-109.19710643174325,offshore wind|5,offshore
5,wa-south,-41.54831321896025,offshore wind|5,offshore
2,ex-wa,-411.99407935438506,offshore wind|2,offshore
2,nsw-south,-641.040102673511,offshore wind|2,offshore
2,sa,-307.78514693371784,offshore wind|2,offshore
2,tas,-331.3605055449652,offshore wind|2,offshore
2,vic-east,-75.62204248954487,offshore wind|2,offshore
2,vic-west,-296.2663099260339,offshore wind|2,offshore
2,wa-central,-20.798229747903115,offshore wind|2,offshore
2,wa-south,-458.7928063479805,offshore wind|2,offshore
1,ex-wa,-209.7704239473982,offshore wind|1,offshore
1,nsw-south,-367.6348213044081,offshore wind|1,offshore
1,tas,-119.60631751501205,offshore wind|1,offshore
1,vic-east,-89.70606424692863,offshore wind|1,offshore
1,vic-west,-136.6184712547882,offshore wind|1,offshore
1,wa-central,-61.2558845861807,offshore wind|1,offshore
1,wa-south,-163.97369033760174,offshore wind|1,offshore
4,ex-sa,-51.71605128286224,offshore wind|4,offshore
4,ex-wa,-22.6983536909187,offshore wind|4,offshore
4,nsw-central,-754.7574806444857,offshore wind|4,offshore
4,nsw-north,-347.1839391208566,offshore wind|4,offshore
4,nsw-south,-114.08032321107225,offshore wind|4,offshore
4,nt,-74.10687834657598,offshore wind|4,offshore
4,qld-south,-131.04316829414043,offshore wind|4,offshore
4,sa,-61.64759703108033,offshore wind|4,offshore
4,tas,-92.47189290885098,offshore wind|4,offshore
4,vic-east,-58.66589654844564,offshore wind|4,offshore
4,vic-west,-44.189973953582005,offshore wind|4,offshore
4,wa-north,-169.72495716505287,offshore wind|4,offshore
4,wa-south,-141.2090477958624,offshore wind|4,offshore
3,ex-sa,-61.73625069647395,offshore wind|3,offshore
3,ex-wa,-25.299509624425077,offshore wind|3,offshore
3,nsw-south,-303.8075993850205,offshore wind|3,offshore
3,nt,-69.94621125776688,offshore wind|3,offshore
3,qld-north,-28.3962554696429,offshore wind|3,offshore
3,qld-south,-321.8573108584872,offshore wind|3,offshore
3,sa,-195.45679854349711,offshore wind|3,offshore
3,tas,-36.96397331546339,offshore wind|3,offshore
3,vic-east,-68.76346801346803,offshore wind|3,offshore
3,vic-west,-59.281252072418596,offshore wind|3,offshore
3,wa-south,-212.75366388709014,offshore wind|3,offshore
