OBJECTID,NZAU,VALUE_0,VALUE_1
1,ex-nt,74324000000.000000000000000,177002687500.000000000000000
2,ex-qld,307522125000.000000000000000,54622687500.000000000000000
3,ex-sa,74979375000.000000000000000,68987000000.000000000000000
4,ex-wa,270457125000.000000000000000,149009062500.000000000000000
5,ex-nsw,75753125000.000000000000000,49910312500.000000000000000
6,wa-south,185303062500.000000000000000,369853875000.000000000000000
7,wa-central,420386500000.000000000000000,625051500000.000000000000000
8,wa-north,357799375000.000000000000000,568251437500.000000000000000
9,nt,239165687500.000000000000000,1109154625000.000000000000000
10,qld-north,394478750000.000000000000000,324824437500.000000000000000
11,qld-outback,534079250000.000000000000000,159286062500.000000000000000
12,qld-south,136462375000.000000000000000,181167625000.000000000000000
13,nsw-north,63386062500.000000000000000,100819562500.000000000000000
14,nsw-central,30418625000.000000000000000,72981500000.000000000000000
15,nsw-south,70806250000.000000000000000,125643875000.000000000000000
16,nsw-outback,216424500000.000000000000000,122666625000.000000000000000
17,vic-east,2287312500.000000000000000,39266625000.000000000000000
18,vic-west,49336312500.000000000000000,136604562500.000000000000000
19,tas,890875000.000000000000000,67123750000.000000000000000
20,sa,313478937500.000000000000000,670544437500.000000000000000
21,aus_max,890875000.000000000000000,67123750000.000000000000000
22,aus_min,890875000.000000000000000,67123750000.000000000000000
